Academic Year,University,Type of project,New or ongoing research projects,Source of research funding,Unit,Value,Remarks
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong — other,Number,26,
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong charities/foundations,Number,12,
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong Industry,Number,232,
2009/10,The Hong Kong Polytechnic University,Research contracts,On-going,Non-HK,Number,112,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Block Grant,Number,282,
2009/10,The Hong Kong Polytechnic University,Research grants,New,HKSAR Government,Number,20,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Hong Kong — other,Number,63,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Hong Kong charities/foundations,Number,10,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Hong Kong Industry,Number,9,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Non-HK,Number,12,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Other RGC Grants,Number,124,
2009/10,The Hong Kong Polytechnic University,Research grants,New,Other UGC Grants,Number,6,
2009/10,The Hong Kong Polytechnic University,Research grants,New,RGC Direct,Number,115,
2009/10,The Hong Kong Polytechnic University,Research grants,On-going,Block Grant,Number,1312,
2009/10,The Hong Kong Polytechnic University,Research grants,On-going,HKSAR Government,Number,48,
2009/10,The Hong Kong Polytechnic University,Research grants,On-going,Hong Kong — other,Number,151,
2009/10,The Hong Kong Polytechnic University,Research grants,On-going,Hong Kong charities/foundations,Number,38,
2009/10,The Hong Kong Polytechnic University,Research grants,On-going,Hong Kong Industry,Number,24,
2009/10,The Hong Kong Polytechnic University,Research grants,On-going,Non-HK,Number,48,
2009/10,The Hong Kong Polytechnic University,Research grants,On-going,Other RGC Grants,Number,457,
2009/10,The Hong Kong Polytechnic University,Research grants,On-going,Other UGC Grants,Number,35,
2009/10,The Hong Kong Polytechnic University,Research grants,On-going,RGC Direct,Number,395,
2009/10,The Hong Kong University of Science and Technology,Research contracts,New,Hong Kong Industry,Number,135,
2009/10,The Hong Kong University of Science and Technology,Research contracts,On-going,HKSAR Government,Number,2,
2009/10,The Hong Kong University of Science and Technology,Research contracts,On-going,Hong Kong Industry,Number,697,
2009/10,The Hong Kong University of Science and Technology,Research contracts,On-going,Non-HK,Number,2,
2009/10,The Hong Kong University of Science and Technology,Research grants,New,Block Grant,Number,128,
2009/10,The Hong Kong University of Science and Technology,Research grants,New,HKSAR Government,Number,40,
2009/10,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong — other,Number,17,
2009/10,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong charities/foundations,Number,16,
2009/10,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong Industry,Number,6,
2009/10,The Hong Kong University of Science and Technology,Research grants,New,Non-HK,Number,22,
2009/10,The Hong Kong University of Science and Technology,Research grants,New,Other RGC Grants,Number,151,
2009/10,The Hong Kong University of Science and Technology,Research grants,New,Other UGC Grants,Number,1,
2009/10,The Hong Kong University of Science and Technology,Research grants,New,RGC Direct,Number,75,
2009/10,The Hong Kong University of Science and Technology,Research grants,On-going,Block Grant,Number,338,
2009/10,The Hong Kong University of Science and Technology,Research grants,On-going,HKSAR Government,Number,68,
2009/10,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong — other,Number,59,
2009/10,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong charities/foundations,Number,26,
2009/10,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong Industry,Number,70,
2009/10,The Hong Kong University of Science and Technology,Research grants,On-going,Non-HK,Number,107,
2009/10,The Hong Kong University of Science and Technology,Research grants,On-going,Other RGC Grants,Number,581,
2009/10,The Hong Kong University of Science and Technology,Research grants,On-going,Other UGC Grants,Number,52,
2009/10,The Hong Kong University of Science and Technology,Research grants,On-going,RGC Direct,Number,275,
2009/10,The University of Hong Kong,Research contracts,New,HKSAR Government,Number,44,
2009/10,The University of Hong Kong,Research contracts,New,Hong Kong — other,Number,23,
2009/10,The University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,9,
2009/10,The University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,19,
2009/10,The University of Hong Kong,Research contracts,New,Non-HK,Number,13,
2009/10,The University of Hong Kong,Research contracts,On-going,HKSAR Government,Number,184,
2009/10,The University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,174,
2009/10,The University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,19,
2009/10,The University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,117,
2009/10,The University of Hong Kong,Research contracts,On-going,Non-HK,Number,87,
2009/10,The University of Hong Kong,Research grants,New,Block Grant,Number,353,
2009/10,The University of Hong Kong,Research grants,New,HKSAR Government,Number,120,
2009/10,The University of Hong Kong,Research grants,New,Hong Kong — other,Number,62,
2009/10,The University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Number,80,
2009/10,The University of Hong Kong,Research grants,New,Hong Kong Industry,Number,16,
2009/10,The University of Hong Kong,Research grants,New,Non-HK,Number,26,
2009/10,The University of Hong Kong,Research grants,New,Other RGC Grants,Number,223,
2009/10,The University of Hong Kong,Research grants,New,Other UGC Grants,Number,53,
2009/10,The University of Hong Kong,Research grants,New,RGC Direct,Number,190,
2009/10,The University of Hong Kong,Research grants,On-going,Block Grant,Number,987,
2009/10,The University of Hong Kong,Research grants,On-going,HKSAR Government,Number,327,
2009/10,The University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,658,
2009/10,The University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,579,
