Academic Year,University,Type of project,New or ongoing research projects,Source of research funding,Unit,Value,Remarks
2013/14,The Hong Kong Polytechnic University,Research grants,On-going,Non-HK,Amount (HK$ million),66,
2013/14,The Hong Kong Polytechnic University,Research grants,On-going,Other RGC Grants,Amount (HK$ million),396,
2013/14,The Hong Kong Polytechnic University,Research grants,On-going,Other UGC Grants,Amount (HK$ million),56,
2013/14,The Hong Kong Polytechnic University,Research grants,On-going,RGC Direct,Amount (HK$ million),31,
2013/14,The Hong Kong University of Science and Technology,Research contracts,New,HKSAR Government,Amount (HK$ million),13,
2013/14,The Hong Kong University of Science and Technology,Research contracts,New,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2013/14,The Hong Kong University of Science and Technology,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2013/14,The Hong Kong University of Science and Technology,Research contracts,New,Hong Kong Industry,Amount (HK$ million),15,
2013/14,The Hong Kong University of Science and Technology,Research contracts,New,Non-HK,Amount (HK$ million),37,
2013/14,The Hong Kong University of Science and Technology,Research contracts,On-going,HKSAR Government,Amount (HK$ million),15,
2013/14,The Hong Kong University of Science and Technology,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2013/14,The Hong Kong University of Science and Technology,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2013/14,The Hong Kong University of Science and Technology,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),202,
2013/14,The Hong Kong University of Science and Technology,Research contracts,On-going,Non-HK,Amount (HK$ million),62,
2013/14,The Hong Kong University of Science and Technology,Research grants,New,Block Grant,Amount (HK$ million),65,
2013/14,The Hong Kong University of Science and Technology,Research grants,New,HKSAR Government,Amount (HK$ million),54,
2013/14,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong — other,Amount (HK$ million),15,
2013/14,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),1,
2013/14,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong Industry,Amount (HK$ million),12,
2013/14,The Hong Kong University of Science and Technology,Research grants,New,Non-HK,Amount (HK$ million),72,
2013/14,The Hong Kong University of Science and Technology,Research grants,New,Other RGC Grants,Amount (HK$ million),179,
2013/14,The Hong Kong University of Science and Technology,Research grants,New,Other UGC Grants,Amount (HK$ million),24,
2013/14,The Hong Kong University of Science and Technology,Research grants,On-going,Block Grant,Amount (HK$ million),212,
2013/14,The Hong Kong University of Science and Technology,Research grants,On-going,HKSAR Government,Amount (HK$ million),203,
2013/14,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong — other,Amount (HK$ million),118,
2013/14,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),22,
2013/14,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),66,
2013/14,The Hong Kong University of Science and Technology,Research grants,On-going,Non-HK,Amount (HK$ million),257,
2013/14,The Hong Kong University of Science and Technology,Research grants,On-going,Other RGC Grants,Amount (HK$ million),576,
2013/14,The Hong Kong University of Science and Technology,Research grants,On-going,Other UGC Grants,Amount (HK$ million),62,
2013/14,The Hong Kong University of Science and Technology,Research grants,On-going,RGC Direct,Amount (HK$ million),17,
2013/14,The University of Hong Kong,Research contracts,New,HKSAR Government,Amount (HK$ million),42,
2013/14,The University of Hong Kong,Research contracts,New,Hong Kong — other,Amount (HK$ million),2,
2013/14,The University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),3,
2013/14,The University of Hong Kong,Research contracts,New,Hong Kong Industry,Amount (HK$ million),10,
2013/14,The University of Hong Kong,Research contracts,New,Non-HK,Amount (HK$ million),20,
2013/14,The University of Hong Kong,Research contracts,On-going,HKSAR Government,Amount (HK$ million),280,
2013/14,The University of Hong Kong,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),93,
2013/14,The University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),22,
2013/14,The University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),497,
2013/14,The University of Hong Kong,Research contracts,On-going,Non-HK,Amount (HK$ million),258,
2013/14,The University of Hong Kong,Research grants,New,Block Grant,Amount (HK$ million),60,
2013/14,The University of Hong Kong,Research grants,New,HKSAR Government,Amount (HK$ million),238,
2013/14,The University of Hong Kong,Research grants,New,Hong Kong — other,Amount (HK$ million),49,
2013/14,The University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),344,
2013/14,The University of Hong Kong,Research grants,New,Hong Kong Industry,Amount (HK$ million),36,
2013/14,The University of Hong Kong,Research grants,New,Non-HK,Amount (HK$ million),20,
2013/14,The University of Hong Kong,Research grants,New,Other RGC Grants,Amount (HK$ million),209,
2013/14,The University of Hong Kong,Research grants,New,Other UGC Grants,Amount (HK$ million),247,
2013/14,The University of Hong Kong,Research grants,New,RGC Direct,Amount (HK$ million),1,
2013/14,The University of Hong Kong,Research grants,On-going,Block Grant,Amount (HK$ million),346,
2013/14,The University of Hong Kong,Research grants,On-going,HKSAR Government,Amount (HK$ million),899,
2013/14,The University of Hong Kong,Research grants,On-going,Hong Kong — other,Amount (HK$ million),1453,
2013/14,The University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),2191,
2013/14,The University of Hong Kong,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),609,
2013/14,The University of Hong Kong,Research grants,On-going,Non-HK,Amount (HK$ million),381,
2013/14,The University of Hong Kong,Research grants,On-going,Other RGC Grants,Amount (HK$ million),945,
2013/14,The University of Hong Kong,Research grants,On-going,Other UGC Grants,Amount (HK$ million),1501,
2013/14,The University of Hong Kong,Research grants,On-going,RGC Direct,Amount (HK$ million),13,
2014/15,City University of Hong Kong,Research contracts,New,HKSAR Government,Number,2,
2014/15,City University of Hong Kong,Research contracts,New,Hong Kong — other,Number,1,
2014/15,City University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,8,
2014/15,City University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,10,
2014/15,City University of Hong Kong,Research contracts,New,Non-HK,Number,15,
2014/15,City University of Hong Kong,Research contracts,On-going,HKSAR Government,Number,4,
2014/15,City University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,17,
2014/15,City University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,26,
2014/15,City University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,23,
2014/15,City University of Hong Kong,Research contracts,On-going,Non-HK,Number,59,
2014/15,City University of Hong Kong,Research grants,New,Block Grant,Number,289,
2014/15,City University of Hong Kong,Research grants,New,HKSAR Government,Number,42,
2014/15,City University of Hong Kong,Research grants,New,Hong Kong — other,Number,35,
2014/15,City University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Number,2,
2014/15,City University of Hong Kong,Research grants,New,Hong Kong Industry,Number,1,
2014/15,City University of Hong Kong,Research grants,New,Non-HK,Number,1,
2014/15,City University of Hong Kong,Research grants,New,Other RGC Grants,Number,190,
2014/15,City University of Hong Kong,Research grants,On-going,Block Grant,Number,841,
2014/15,City University of Hong Kong,Research grants,On-going,HKSAR Government,Number,116,
2014/15,City University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,206,
2014/15,City University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,13,
2014/15,City University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,11,
2014/15,City University of Hong Kong,Research grants,On-going,Non-HK,Number,17,
2014/15,City University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,624,
2014/15,City University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,2,
2014/15,City University of Hong Kong,Research grants,On-going,RGC Direct,Number,41,
2014/15,Hong Kong Baptist University,Research contracts,New,HKSAR Government,Number,3,
2014/15,Hong Kong Baptist University,Research contracts,New,Hong Kong — other,Number,4,
2014/15,Hong Kong Baptist University,Research contracts,New,Hong Kong charities/foundations,Number,9,
2014/15,Hong Kong Baptist University,Research contracts,New,Hong Kong Industry,Number,2,
2014/15,Hong Kong Baptist University,Research contracts,New,Non-HK,Number,3,
2014/15,Hong Kong Baptist University,Research contracts,On-going,HKSAR Government,Number,30,
2014/15,Hong Kong Baptist University,Research contracts,On-going,Hong Kong — other,Number,18,
2014/15,Hong Kong Baptist University,Research contracts,On-going,Hong Kong charities/foundations,Number,17,
2014/15,Hong Kong Baptist University,Research contracts,On-going,Hong Kong Industry,Number,6,
2014/15,Hong Kong Baptist University,Research contracts,On-going,Non-HK,Number,29,
2014/15,Hong Kong Baptist University,Research grants,New,Block Grant,Number,165,
2014/15,Hong Kong Baptist University,Research grants,New,HKSAR Government,Number,18,
2014/15,Hong Kong Baptist University,Research grants,New,Hong Kong — other,Number,1,
2014/15,Hong Kong Baptist University,Research grants,New,Hong Kong charities/foundations,Number,2,
2014/15,Hong Kong Baptist University,Research grants,New,Hong Kong Industry,Number,1,
2014/15,Hong Kong Baptist University,Research grants,New,Non-HK,Number,5,
2014/15,Hong Kong Baptist University,Research grants,New,Other RGC Grants,Number,85,
2014/15,Hong Kong Baptist University,Research grants,New,Other UGC Grants,Number,1,
2014/15,Hong Kong Baptist University,Research grants,New,RGC Direct,Number,2,
2014/15,Hong Kong Baptist University,Research grants,On-going,Block Grant,Number,537,
2014/15,Hong Kong Baptist University,Research grants,On-going,HKSAR Government,Number,53,
2014/15,Hong Kong Baptist University,Research grants,On-going,Hong Kong — other,Number,13,
2014/15,Hong Kong Baptist University,Research grants,On-going,Hong Kong charities/foundations,Number,3,
2014/15,Hong Kong Baptist University,Research grants,On-going,Hong Kong Industry,Number,1,
2014/15,Hong Kong Baptist University,Research grants,On-going,Non-HK,Number,13,
2014/15,Hong Kong Baptist University,Research grants,On-going,Other RGC Grants,Number,292,
2014/15,Hong Kong Baptist University,Research grants,On-going,Other UGC Grants,Number,1,
2014/15,Hong Kong Baptist University,Research grants,On-going,RGC Direct,Number,50,
2014/15,Lingnan University,Research contracts,New,HKSAR Government,Number,2,
2014/15,Lingnan University,Research contracts,New,Hong Kong — other,Number,1,
2014/15,Lingnan University,Research contracts,New,Non-HK,Number,1,
2014/15,Lingnan University,Research contracts,On-going,HKSAR Government,Number,4,
2014/15,Lingnan University,Research contracts,On-going,Hong Kong — other,Number,1,
2014/15,Lingnan University,Research contracts,On-going,Hong Kong charities/foundations,Number,2,
2014/15,Lingnan University,Research contracts,On-going,Non-HK,Number,2,
2014/15,Lingnan University,Research grants,New,Block Grant,Number,33,
2014/15,Lingnan University,Research grants,New,Other RGC Grants,Number,13,
2014/15,Lingnan University,Research grants,On-going,Block Grant,Number,91,
2014/15,Lingnan University,Research grants,On-going,HKSAR Government,Number,3,
2014/15,Lingnan University,Research grants,On-going,Other RGC Grants,Number,47,
2014/15,Lingnan University,Research grants,On-going,RGC Direct,Number,6,
2014/15,The Chinese University of Hong Kong,Research contracts,New,HKSAR Government,Number,108,
2014/15,The Chinese University of Hong Kong,Research contracts,New,Hong Kong — other,Number,36,
2014/15,The Chinese University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,8,
2014/15,The Chinese University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,132,
2014/15,The Chinese University of Hong Kong,Research contracts,New,Non-HK,Number,54,
2014/15,The Chinese University of Hong Kong,Research contracts,On-going,HKSAR Government,Number,282,
2014/15,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,83,
2014/15,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,24,
2014/15,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,318,
2014/15,The Chinese University of Hong Kong,Research contracts,On-going,Non-HK,Number,136,
2014/15,The Chinese University of Hong Kong,Research grants,New,Block Grant,Number,854,
2014/15,The Chinese University of Hong Kong,Research grants,New,HKSAR Government,Number,157,
2014/15,The Chinese University of Hong Kong,Research grants,New,Hong Kong — other,Number,110,
2014/15,The Chinese University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Number,29,
2014/15,The Chinese University of Hong Kong,Research grants,New,Hong Kong Industry,Number,14,
2014/15,The Chinese University of Hong Kong,Research grants,New,Non-HK,Number,8,
2014/15,The Chinese University of Hong Kong,Research grants,New,Other RGC Grants,Number,254,
2014/15,The Chinese University of Hong Kong,Research grants,New,Other UGC Grants,Number,2,
2014/15,The Chinese University of Hong Kong,Research grants,On-going,Block Grant,Number,1651,
2014/15,The Chinese University of Hong Kong,Research grants,On-going,HKSAR Government,Number,316,
2014/15,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,260,
2014/15,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,138,
2014/15,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,76,
2014/15,The Chinese University of Hong Kong,Research grants,On-going,Non-HK,Number,54,
2014/15,The Chinese University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,835,
2014/15,The Chinese University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,9,
2014/15,The Chinese University of Hong Kong,Research grants,On-going,RGC Direct,Number,16,
2014/15,The Education University of Hong Kong,Research contracts,New,Hong Kong — other,Number,1,
2014/15,The Education University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,4,
2014/15,The Education University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,2,
2014/15,The Education University of Hong Kong,Research contracts,New,Non-HK,Number,2,
2014/15,The Education University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,4,
2014/15,The Education University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,9,
2014/15,The Education University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,2,
2014/15,The Education University of Hong Kong,Research contracts,On-going,Non-HK,Number,5,
2014/15,The Education University of Hong Kong,Research grants,New,Block Grant,Number,149,
2014/15,The Education University of Hong Kong,Research grants,New,HKSAR Government,Number,15,
2014/15,The Education University of Hong Kong,Research grants,New,Hong Kong — other,Number,3,
2014/15,The Education University of Hong Kong,Research grants,New,Other RGC Grants,Number,33,
2014/15,The Education University of Hong Kong,Research grants,New,Other UGC Grants,Number,6,
2014/15,The Education University of Hong Kong,Research grants,New,RGC Direct,Number,24,
2014/15,The Education University of Hong Kong,Research grants,On-going,Block Grant,Number,278,
2014/15,The Education University of Hong Kong,Research grants,On-going,HKSAR Government,Number,39,
2014/15,The Education University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,11,
2014/15,The Education University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,89,
2014/15,The Education University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,7,
2014/15,The Education University of Hong Kong,Research grants,On-going,RGC Direct,Number,46,
2014/15,The Hong Kong Polytechnic University,Research contracts,New,HKSAR Government,Number,93,
2014/15,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong — other,Number,23,
2014/15,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong charities/foundations,Number,4,
2014/15,The Hong Kong Polytechnic University,Research contracts,New,Hong Kong Industry,Number,56,
2014/15,The Hong Kong Polytechnic University,Research contracts,New,Non-HK,Number,68,
2014/15,The Hong Kong Polytechnic University,Research contracts,On-going,HKSAR Government,Number,224,
2014/15,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong — other,Number,39,
2014/15,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong charities/foundations,Number,9,
2014/15,The Hong Kong Polytechnic University,Research contracts,On-going,Hong Kong Industry,Number,142,
2014/15,The Hong Kong Polytechnic University,Research contracts,On-going,Non-HK,Number,224,
2014/15,The Hong Kong Polytechnic University,Research grants,New,Block Grant,Number,460,
2014/15,The Hong Kong Polytechnic University,Research grants,New,HKSAR Government,Number,15,
2014/15,The Hong Kong Polytechnic University,Research grants,New,Hong Kong — other,Number,39,
2014/15,The Hong Kong Polytechnic University,Research grants,New,Hong Kong charities/foundations,Number,9,
2014/15,The Hong Kong Polytechnic University,Research grants,New,Hong Kong Industry,Number,3,
2014/15,The Hong Kong Polytechnic University,Research grants,New,Non-HK,Number,16,
2014/15,The Hong Kong Polytechnic University,Research grants,New,Other RGC Grants,Number,180,
2014/15,The Hong Kong Polytechnic University,Research grants,New,Other UGC Grants,Number,4,
2014/15,The Hong Kong Polytechnic University,Research grants,On-going,Block Grant,Number,1389,
2014/15,The Hong Kong Polytechnic University,Research grants,On-going,HKSAR Government,Number,99,
2014/15,The Hong Kong Polytechnic University,Research grants,On-going,Hong Kong — other,Number,213,
2014/15,The Hong Kong Polytechnic University,Research grants,On-going,Hong Kong charities/foundations,Number,33,
2014/15,The Hong Kong Polytechnic University,Research grants,On-going,Hong Kong Industry,Number,24,
2014/15,The Hong Kong Polytechnic University,Research grants,On-going,Non-HK,Number,68,
2014/15,The Hong Kong Polytechnic University,Research grants,On-going,Other RGC Grants,Number,579,
2014/15,The Hong Kong Polytechnic University,Research grants,On-going,Other UGC Grants,Number,6,
2014/15,The Hong Kong Polytechnic University,Research grants,On-going,RGC Direct,Number,88,
2014/15,The Hong Kong University of Science and Technology,Research contracts,New,HKSAR Government,Number,35,
2014/15,The Hong Kong University of Science and Technology,Research contracts,New,Hong Kong — other,Number,6,
2014/15,The Hong Kong University of Science and Technology,Research contracts,New,Hong Kong charities/foundations,Number,3,
2014/15,The Hong Kong University of Science and Technology,Research contracts,New,Hong Kong Industry,Number,32,
2014/15,The Hong Kong University of Science and Technology,Research contracts,New,Non-HK,Number,74,
2014/15,The Hong Kong University of Science and Technology,Research contracts,On-going,HKSAR Government,Number,59,
2014/15,The Hong Kong University of Science and Technology,Research contracts,On-going,Hong Kong — other,Number,9,
2014/15,The Hong Kong University of Science and Technology,Research contracts,On-going,Hong Kong charities/foundations,Number,4,
2014/15,The Hong Kong University of Science and Technology,Research contracts,On-going,Hong Kong Industry,Number,116,
2014/15,The Hong Kong University of Science and Technology,Research contracts,On-going,Non-HK,Number,141,
2014/15,The Hong Kong University of Science and Technology,Research grants,New,Block Grant,Number,345,
2014/15,The Hong Kong University of Science and Technology,Research grants,New,HKSAR Government,Number,48,
2014/15,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong — other,Number,15,
2014/15,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong charities/foundations,Number,14,
2014/15,The Hong Kong University of Science and Technology,Research grants,New,Hong Kong Industry,Number,12,
2014/15,The Hong Kong University of Science and Technology,Research grants,New,Non-HK,Number,72,
2014/15,The Hong Kong University of Science and Technology,Research grants,New,Other RGC Grants,Number,184,
2014/15,The Hong Kong University of Science and Technology,Research grants,New,Other UGC Grants,Number,18,
2014/15,The Hong Kong University of Science and Technology,Research grants,On-going,Block Grant,Number,940,
2014/15,The Hong Kong University of Science and Technology,Research grants,On-going,HKSAR Government,Number,107,
2014/15,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong — other,Number,79,
2014/15,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong charities/foundations,Number,22,
2014/15,The Hong Kong University of Science and Technology,Research grants,On-going,Hong Kong Industry,Number,74,
2014/15,The Hong Kong University of Science and Technology,Research grants,On-going,Non-HK,Number,285,
2014/15,The Hong Kong University of Science and Technology,Research grants,On-going,Other RGC Grants,Number,639,
2014/15,The Hong Kong University of Science and Technology,Research grants,On-going,Other UGC Grants,Number,66,
2014/15,The Hong Kong University of Science and Technology,Research grants,On-going,RGC Direct,Number,135,
2014/15,The University of Hong Kong,Research contracts,New,HKSAR Government,Number,13,
2014/15,The University of Hong Kong,Research contracts,New,Hong Kong — other,Number,4,
2014/15,The University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,14,
2014/15,The University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,10,
2014/15,The University of Hong Kong,Research contracts,New,Non-HK,Number,20,
2014/15,The University of Hong Kong,Research contracts,On-going,HKSAR Government,Number,153,
2014/15,The University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,157,
2014/15,The University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,37,
2014/15,The University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,135,
2014/15,The University of Hong Kong,Research contracts,On-going,Non-HK,Number,132,
2014/15,The University of Hong Kong,Research grants,New,Block Grant,Number,671,
2014/15,The University of Hong Kong,Research grants,New,HKSAR Government,Number,165,
2014/15,The University of Hong Kong,Research grants,New,Hong Kong — other,Number,44,
2014/15,The University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Number,94,
2014/15,The University of Hong Kong,Research grants,New,Hong Kong Industry,Number,25,
2014/15,The University of Hong Kong,Research grants,New,Non-HK,Number,29,
2014/15,The University of Hong Kong,Research grants,New,Other RGC Grants,Number,312,
2014/15,The University of Hong Kong,Research grants,New,Other UGC Grants,Number,100,
2014/15,The University of Hong Kong,Research grants,New,RGC Direct,Number,10,
2014/15,The University of Hong Kong,Research grants,On-going,Block Grant,Number,1745,
2014/15,The University of Hong Kong,Research grants,On-going,HKSAR Government,Number,682,
2014/15,The University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,682,
2014/15,The University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,871,
2014/15,The University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,287,
2014/15,The University of Hong Kong,Research grants,On-going,Non-HK,Number,223,
2014/15,The University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,978,
2014/15,The University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,610,
2014/15,The University of Hong Kong,Research grants,On-going,RGC Direct,Number,42,
2014/15,City University of Hong Kong,Research contracts,New,HKSAR Government,Amount (HK$ million),1,
2014/15,City University of Hong Kong,Research contracts,New,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2014/15,City University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),2,
2014/15,City University of Hong Kong,Research contracts,New,Hong Kong Industry,Amount (HK$ million),4,
2014/15,City University of Hong Kong,Research contracts,New,Non-HK,Amount (HK$ million),11,
2014/15,City University of Hong Kong,Research contracts,On-going,HKSAR Government,Amount (HK$ million),1,
2014/15,City University of Hong Kong,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),10,
2014/15,City University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),7,
2014/15,City University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),10,
2014/15,City University of Hong Kong,Research contracts,On-going,Non-HK,Amount (HK$ million),66,
2014/15,City University of Hong Kong,Research grants,New,Block Grant,Amount (HK$ million),87,
2014/15,City University of Hong Kong,Research grants,New,HKSAR Government,Amount (HK$ million),51,
2014/15,City University of Hong Kong,Research grants,New,Hong Kong — other,Amount (HK$ million),6,
2014/15,City University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),1,
2014/15,City University of Hong Kong,Research grants,New,Hong Kong Industry,Amount (HK$ million),13,
2014/15,City University of Hong Kong,Research grants,New,Non-HK,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2014/15,City University of Hong Kong,Research grants,New,Other RGC Grants,Amount (HK$ million),123,
2014/15,City University of Hong Kong,Research grants,On-going,Block Grant,Amount (HK$ million),366,
2014/15,City University of Hong Kong,Research grants,On-going,HKSAR Government,Amount (HK$ million),157,
2014/15,City University of Hong Kong,Research grants,On-going,Hong Kong — other,Amount (HK$ million),75,
2014/15,City University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),14,
2014/15,City University of Hong Kong,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),40,
2014/15,City University of Hong Kong,Research grants,On-going,Non-HK,Amount (HK$ million),9,
2014/15,City University of Hong Kong,Research grants,On-going,Other RGC Grants,Amount (HK$ million),408,
2014/15,City University of Hong Kong,Research grants,On-going,Other UGC Grants,Amount (HK$ million),30,
2014/15,City University of Hong Kong,Research grants,On-going,RGC Direct,Amount (HK$ million),7,
2014/15,Hong Kong Baptist University,Research contracts,New,HKSAR Government,Amount (HK$ million),3,
2014/15,Hong Kong Baptist University,Research contracts,New,Hong Kong — other,Amount (HK$ million),7,
2014/15,Hong Kong Baptist University,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),65,
2014/15,Hong Kong Baptist University,Research contracts,New,Hong Kong Industry,Amount (HK$ million),4,
2014/15,Hong Kong Baptist University,Research contracts,New,Non-HK,Amount (HK$ million),2,
2014/15,Hong Kong Baptist University,Research contracts,On-going,HKSAR Government,Amount (HK$ million),37,
2014/15,Hong Kong Baptist University,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),20,
2014/15,Hong Kong Baptist University,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),70,
2014/15,Hong Kong Baptist University,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),6,
2014/15,Hong Kong Baptist University,Research contracts,On-going,Non-HK,Amount (HK$ million),16,
2014/15,Hong Kong Baptist University,Research grants,New,Block Grant,Amount (HK$ million),16,
2014/15,Hong Kong Baptist University,Research grants,New,HKSAR Government,Amount (HK$ million),26,
2014/15,Hong Kong Baptist University,Research grants,New,Hong Kong — other,Amount (HK$ million),11,
2014/15,Hong Kong Baptist University,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),1,
2014/15,Hong Kong Baptist University,Research grants,New,Hong Kong Industry,Amount (HK$ million),3,
2014/15,Hong Kong Baptist University,Research grants,New,Non-HK,Amount (HK$ million),5,
2014/15,Hong Kong Baptist University,Research grants,New,Other RGC Grants,Amount (HK$ million),49,
2014/15,Hong Kong Baptist University,Research grants,New,Other UGC Grants,Amount (HK$ million),1,
2014/15,Hong Kong Baptist University,Research grants,New,RGC Direct,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2014/15,Hong Kong Baptist University,Research grants,On-going,Block Grant,Amount (HK$ million),77,
2014/15,Hong Kong Baptist University,Research grants,On-going,HKSAR Government,Amount (HK$ million),60,
2014/15,Hong Kong Baptist University,Research grants,On-going,Hong Kong — other,Amount (HK$ million),26,
2014/15,Hong Kong Baptist University,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),8,
2014/15,Hong Kong Baptist University,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),8,
2014/15,Hong Kong Baptist University,Research grants,On-going,Non-HK,Amount (HK$ million),7,
2014/15,Hong Kong Baptist University,Research grants,On-going,Other RGC Grants,Amount (HK$ million),183,
2014/15,Hong Kong Baptist University,Research grants,On-going,Other UGC Grants,Amount (HK$ million),22,
2014/15,Hong Kong Baptist University,Research grants,On-going,RGC Direct,Amount (HK$ million),4,
2014/15,Lingnan University,Research contracts,New,HKSAR Government,Amount (HK$ million),1,
2014/15,Lingnan University,Research contracts,New,Hong Kong — other,Amount (HK$ million),1,
2014/15,Lingnan University,Research contracts,New,Non-HK,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2014/15,Lingnan University,Research contracts,On-going,HKSAR Government,Amount (HK$ million),10,
2014/15,Lingnan University,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),1,
2014/15,Lingnan University,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2014/15,Lingnan University,Research contracts,On-going,Non-HK,Amount (HK$ million),2,
2014/15,Lingnan University,Research grants,New,Block Grant,Amount (HK$ million),2,
2014/15,Lingnan University,Research grants,New,Other RGC Grants,Amount (HK$ million),5,
2014/15,Lingnan University,Research grants,On-going,Block Grant,Amount (HK$ million),6,
2014/15,Lingnan University,Research grants,On-going,HKSAR Government,Amount (HK$ million),2,
